slider,min_value,max_value,step,mechanical_effect,driver_feedback,recommended_adjustment,stage_conditions,notes
Front Toe,-2.00,2.00,0.10,"Affects stability vs rotation","Pushes mid-corner","Increase toe-out","Technical, medium-speed","More toe-out increases rotation"
Front Toe,-2.00,2.00,0.10,"Affects stability vs rotation","Too nervous on straights","Increase toe-in","Fast, flowing","Toe-in stabilizes high-speed behavior"
Front Camber,-2.50,0.00,0.10,"Controls mid-corner grip","Understeer mid-corner","Increase negative camber","Tarmac, dry","More camber increases lateral grip"
Front Camber,-2.50,0.00,0.10,"Controls mid-corner grip","Snappy on entry","Reduce negative camber","Gravel, rough","Less camber improves braking stability"
Brake Bias,30,90,1,"Controls entry stability","Rear stepping out under braking","Move bias forward","Steep descents, wet","More front bias stabilizes entry"
Brake Bias,30,90,1,"Controls entry stability","Pushes on entry","Move bias rearward","Flat, high-grip","More rear bias increases rotation"
Braking Force,1266,3798,42.2,"Controls stopping power","Locks easily","Reduce braking force","Wet, snow","Lower force prevents lockup"
Handbrake Force,1139.3,2827.3,25,"Controls rotation in hairpins","Car won't rotate","Increase handbrake force","Tight hairpins","More force increases rotation"
Front LSD Accel,0,37,0.5,"Controls traction on throttle","Poor traction exit","Increase accel lock","Uphill, low-grip","More lock improves traction"
Front LSD Accel,0,37,0.5,"Controls traction on throttle","Understeer on power","Reduce accel lock","Tarmac, dry","Less lock improves rotation"
Front LSD Decel,0,37,0.5,"Controls entry stability","Snappy on entry","Reduce decel lock","Technical","Less lock improves rotation on entry"
Front LSD Decel,0,37,0.5,"Controls entry stability","Pushes on entry","Increase decel lock","Fast, downhill","More lock stabilizes entry"
Front LSD Preload,0,96.25,1.5,"Controls diff responsiveness","Unpredictable transitions","Increase preload","Mixed surface","More preload smooths transitions"
Rear LSD Accel,0,44,0.5,"Controls rotation on throttle","Oversteer on exit","Reduce accel lock","High-grip","Less lock reduces rotation"
Rear LSD Accel,0,44,0.5,"Controls rotation on throttle","Understeer on exit","Increase accel lock","Low-grip","More lock increases rotation"
Rear LSD Decel,0,42,0.5,"Controls rotation on entry","Rear unstable on entry","Increase decel lock","Downhill","More lock stabilizes rear"
Rear LSD Preload,0,100,2.0,"Controls diff responsiveness","Snappy mid-corner","Increase preload","Fast","More preload smooths transitions"
Gear Ratios,0.200,1.200,0.02,"Controls acceleration vs top speed","Hitting limiter","Lengthen gear","Fast stages","Longer gears increase top speed"
Gear Ratios,0.200,1.200,0.02,"Controls acceleration vs top speed","Bogging in 2nd","Shorten gear","Technical","Shorter gears improve acceleration"
Final Drive,0.100,0.300,0.005,"Controls overall gearing","Needs more top speed","Lower final drive","Fast","Lower FD lengthens all gears"
Final Drive,0.100,0.300,0.005,"Controls overall gearing","Needs more acceleration","Raise final drive","Technical","Higher FD shortens all gears"
Slow Bump,-5,5,0.20,"Controls chassis compression","Harsh over bumps","Soften slow bump","Rough","Softer bump improves compliance"
Fast Bump,-5,5,0.20,"Controls high-speed compression","Bottoming out","Stiffen fast bump","Jumps, compressions","Stiffer bump prevents bottoming"
Bump Division,0,1.30,0.02,"Controls bump vs rebound balance","Car feels floaty","Increase bump division","Fast","Higher division increases control"
Ride Height,30,70,1,"Controls ground clearance","Bottoming out","Raise ride height","Rough, jumps","Higher ride height prevents impacts"
Ride Height,30,70,1,"Controls ground clearance","Too much body roll","Lower ride height","Smooth","Lower height improves stability"
Spring Rate,20,100,1.5,"Controls chassis stiffness","Too soft in fast corners","Increase spring rate","Fast, tarmac","Stiffer springs improve precision"
Spring Rate,20,100,1.5,"Controls chassis stiffness","Skittish on bumps","Soften spring rate","Rough","Softer springs improve compliance"
Anti-Roll Bar,0,66,1,"Controls lateral load transfer","Understeer mid-corner","Stiffen rear ARB","Tarmac","More rear ARB increases rotation"
Anti-Roll Bar,0,66,1,"Controls lateral load transfer","Oversteer mid-corner","Stiffen front ARB","Gravel","More front ARB increases stability"